Name,Status,Suggested by:,MAL URL
High School Fleet,Unwatched,@thd14,https://myanimelist.net/anime/31500/High_School_Fleet?q=high%20school%20fleet&cat=anime
The Dungeon of the Black Company,Unwatched,@Nnoble,https://myanimelist.net/anime/42340/Meikyuu_Black_Company
Tsuki Ga Kirei,Unwatched,@kara,https://myanimelist.net/anime/34822/Tsuki_ga_Kirei
Summertime Rendering,Suggested – partially watched,@Torch,https://myanimelist.net/anime/47194/Summertime_Render
Made In Abyss,Unwatched,@$paceKidd,https://myanimelist.net/anime/34599/Made_in_Abyss
Princess Principal,Suggested – unwatched,@thd14,https://myanimelist.net/anime/35240/Princess_Principal?q=princess%20principal&cat=anime
Shadows House,Suggested – unwatched,@Popstar69,https://myanimelist.net/anime/43439/Shadows_House?q=shadows%20house&cat=anime
Death Parade,Suggested – partially watched,@Nnoble,https://myanimelist.net/anime/28223/Death_Parade?q=death%20parade&cat=anime
Classroom of the Elite,Suggested – unwatched,@$paceKidd,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e
Megalo Box,Suggested – partially watched,@sajanator,https://myanimelist.net/anime/36563/Megalo_Box
Houseki no Kuni,Suggested – unwatched,@Noodle,https://myanimelist.net/anime/35557/Houseki_no_Kuni
Hi Score Girl,Unwatched,@JasonTS,https://myanimelist.net/manga/44501/High_Score_Girl
Mushishi,Unwatched,@PhantomLily,https://myanimelist.net/anime/457/Mushishi
Girls Und Panzer,Unwatched,@thd14,https://myanimelist.net/anime/14131/Girls___Panzer
Girls Last Tour,Suggested – partially watched,@jef,https://myanimelist.net/anime/35838/Shoujo_Shuumatsu_Ryokou
Overlord,Unwatched,@miles,https://myanimelist.net/anime/29803/Overlord
Invaders of the Rokujouma ,Unwatched,@Remy,https://myanimelist.net/anime/22865/Rokujouma_no_Shinryakusha
Golden Time,Unwatched,@$paceKidd,https://myanimelist.net/anime/17895/Golden_Time?q=Golden%20time&cat=anime
Food Wars,Unwatched,@hentaiwithsenpai,https://myanimelist.net/anime/28171/Shokugeki_no_Souma
